# x,y,z
1.784955725155780437e-02,-7.297004620634368888e-02,-5.316874280346428616e-02
3.344584324901073158e-02,-1.465064109939651082e-02,8.868557231918393347e-03
4.014222164984571073e-02,-5.749475405818896268e-03,3.913836865617052047e-02
4.255795082913237104e-02,-1.286731307197788721e-02,5.881688307479113892e-02
9.919526396823155623e-03,-1.118186594502014464e-02,1.179414717731230161e-02
1.373815315974043216e-02,-6.405641999946753984e-03,4.131836055629189292e-02
1.374939084349413587e-02,-3.228514445636723740e-03,6.271466053324314949e-02
-2.327843820931507074e-02,-4.366181214859875259e-02,6.181789929789183180e-06
-2.208722181087419828e-02,-4.381696070494022627e-02,1.782325675497496015e-02
-9.980021360503806005e-03,-5.043745297775115849e-02,2.615319709324479686e-02
-1.016599754515965653e-02,-2.865207442525182641e-02,6.053225992505247011e-03
-5.297122964955797153e-03,-2.216516116484481408e-02,3.214642518637101515e-02
2.928549384196316163e-03,-2.757925813227533884e-02,5.380491691586008346e-02
4.060992204885925660e-02,-6.617790506333234846e-02,-2.582115489201512737e-02
5.311395279601521802e-02,-6.520731487960416961e-02,1.480247998360460782e-03
4.868843940975595141e-02,-5.519182254624588335e-02,2.560453491722253921e-02
